cas,alkane,methyl,alkene,alkyne,alcohols,amines,nitriles,aromatics,alkyl halides,esters,ketones,aldehydes,carboxylic acids,ether,acyl halides,amides,nitro
1001452,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100152,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1001532,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1001565,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10016203,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
100163,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
10016521,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
10017115,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10017375,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100174,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
100182476,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100185,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1001894,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100191604,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
100196,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
10020436,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
10020754,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100209,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
100210,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1002115,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1002171,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10021928,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
100221,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10022283,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1002262,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002273,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002284,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100232,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1002331,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002353,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002411,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10024187,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1002433,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10024905,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
10024972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100254,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
10025679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002568,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10025782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002579,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
10025851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10025873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10026036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10026047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10026070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10026138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10026183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100264275,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
1002682,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002693,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100276,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
10028145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10028156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10028167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10028178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10028189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10028225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002842,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
100287,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
10029079,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10029091,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100298,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1003038,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1003049,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10030747,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1003094,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1003107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10031182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003141,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1003174,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10031820,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
10031875,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10031922,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1003196,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10032027,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10032050,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10032130,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10032152,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
100323,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1003265,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003298,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1003301,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1003312,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1003389,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10033995,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10034090,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10034125,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10034136,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1003414,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10034818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10034852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10035106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003561,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10036096,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10036121,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1003641,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10036472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10036643,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
100367,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1003674,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1003685,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1003732,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100378,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100389,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10038989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100390,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
100391693,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
100397986,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
100403,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100414,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1004246,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100425,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1004291,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10043115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10043353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004359,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100436,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1004360,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100436053,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
10043922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004393,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1004406,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
100444415,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
100447,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
10045655,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
100458,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1004666,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
100469,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
100470,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
100477723,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
1004779,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100481,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
10049044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10049124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100492,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10049602,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100505,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100508563,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
100508574,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
10051066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100516,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10052183,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100527,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1005318,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100538,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1005385,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1005396,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
100541308,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0
100549,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1005498,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100550,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1005512,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005556,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100561,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1005647,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1005681,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100576258,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
1005932,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10060114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10060329,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
10060330,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
100607,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10061015,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10061026,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10061322,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
100618,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1006208,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100629,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100630,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
100641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100652,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
100652571,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1006593,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
100663,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1006651,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1006673,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100685,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1006946,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
100696,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1006991,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1007018,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1007030,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
100709,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
100710,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100710803,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
100721,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
100725062,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
1007267,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1007278,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100732,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1007325,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1007369,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
100743,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10075384,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100754,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10075691,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10075726,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10075737,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10075748,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10076310,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100798,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
100801,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100812,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1008179,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100823,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
100834,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
100845,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
100852800,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
100867,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1008748,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1008759,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1008760,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
10088376,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1008884,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100889,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1008895,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10089459,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1008953,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1009025,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1009116,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
100914,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
1009149,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
100925,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
100936,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
10094345,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
100945399,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100960201,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
100961237,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
1009616,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
100964963,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
100965466,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
100970,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10097286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10097322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009741,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100983128,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
1009934,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100996438,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10099704,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10099715,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10099760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10100955,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10101527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10102031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10102439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10102440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10102451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101053,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
10105381,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10105427,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1010748,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101080164,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
101081076,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
10108562,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101086,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
101096600,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
101097830,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
101103224,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0
10110788,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10111087,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1011127,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10112911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101144,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1011503,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1011547,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
101166,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
101166965,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0
101177,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
101188,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
101202,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
101213,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
10122959,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
101231372,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
10124433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101251438,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10125185,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
101257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101259498,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
10126699,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
1012722,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1012766,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
101279,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0
10127987,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
101279929,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
101287052,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
101288237,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
101292506,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
1013087,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
101315,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
1013236,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10132431,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10133343,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
10133412,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
101337,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
101348,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10136659,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
101371,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
101371204,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
101371215,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1013758,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
10137652,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
10138177,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
101382,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
10138213,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10138326,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10138597,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1013883,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10138893,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
101393,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
101398587,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101399455,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0
101406,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101417,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
10141727,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
101421049,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101428,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10143234,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101432900,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10143541,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
10143609,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
101439,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1014604,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1014693,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1014706,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10147361,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10147407,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10147418,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014819,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0
101484,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
101495,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
101501171,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
10150875,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
